Num,Review,,,,
0,"mir, 16 Jan 2018My Huawei Mate 10 Pro is already two weeks old. I feel the android os getting super laggy. Sho... moreNo",,,,
1,This month it fell from 1149? to 999? in Germany via resellers. Hoping it continues like that.,,,,
2,"chopp, 16 Jan 2018hey guys iam confused between buying iphone x or huawei Y3 2017 please help :pLel ",,,,
3,"chopp, 16 Jan 2018hey guys iam confused between buying iphone x or huawei Y3 2017 please help :pIts like buying a KIA or a Mercedes. You can only decide. Its price difference and performance of course.  ",,,,
4,hey guys iam confused between buying iphone x or huawei Y3 2017 please help :p,,,,
5,"mir, 16 Jan 2018My Huawei Mate 10 Pro is already two weeks old. I feel the android os getting super laggy. Sho... moreYes you can buy. Best phone at the time",,,,
6,"kavorka1, 11 Jan 2018Does anyone have battery issues with ios 11.2.2.?Not really but wen its start u can't fix it",,,,
7,My Huawei Mate 10 Pro is already two weeks old. I feel the android os getting super laggy. Should I buy this amazing iphone X?,,,,
8,How about face id? ,,,,
9,"no high resolution audio in i phone x.. no fingerprint, no audio jack...",,,,
10,"Anonymous, 13 Jan 2018I don't like Apple is non customisable trying to be like Android iphone is not customisable but android is cant do *F* all with iphone except do what apple want you to do .Samsung I can do what I want without restriction any 3rd party ",,,,
11,"Mashroor, 13 Jan 2018yeah .. sameYeah ",,,,
12,"I think has loads issues, go S8 it's bewdifulz ",,,,
13,I no buy from company that slow down battery cheats cheeky charge enough.,,,,
14,"Anonymous, 14 Jan 2018How can it be non-customizable and at the same time try to be like Android. That makes absolut... moreLol",,,,
15,"Anonymous, 13 Jan 2018I don't like Apple is non customisable trying to be like Android How can it be non-customizable and at the same time try to be like Android. That makes absolutely no sense.",,,,
16,I don't like Apple is non customisable trying to be like Android ,,,,
17,"mirost1, 12 Jan 2018They really messed it up with this update.what do you exactly mean?",,,,
18,"Anonymous, 11 Jan 2018sooner or later this phone will suffer from burn-in issue since it is using amoled screen , hu... moreI have Samsung phones for a long time, and so does my whole family. There was never an issue of burned in screen, so I don't think it will happen on iPhone X either. It's screen was made by Samsung, and from my experience it never happened on Samsung phones.",,,,
19,"kavorka1, 11 Jan 2018Does anyone have battery issues with ios 11.2.2.?yeah .. same",,,,
20,They really messed it up with this update.,,,,
